,Centre,SeriesNum,PET/CT,5minPET,Manufacturer,Scanner,Skull,FrameNum,Activity,image_ref_index,DCM_path,Slice Thickness,Rows,Columns,Number of Slices,Pixel Spacing
171,Dundee,04,P,True,SIEMENS,mCT,True,4.0,31.20147552441779,75.0,D:/Hoffman/_Dundee/#23_DD_Hoffman_4x5_Skull/,3.0,128,128,56.0,"[1.81823, 1.81823]"
172,Dundee,05,P,True,SIEMENS,mCT,True,5.0,30.231140448414614,76.0,D:/Hoffman/_Dundee/#24_DD_Hoffman_5x5_Skull/,3.0,128,128,56.0,"[1.81823, 1.81823]"
173,Dundee,06,P,True,SIEMENS,mCT,True,6.0,29.290981835027292,77.0,D:/Hoffman/_Dundee/#25_DD_Hoffman_6x5_Skull/,3.0,128,128,56.0,"[1.81823, 1.81823]"
174,Dundee,07,P,True,SIEMENS,mCT,False,1.0,42.79382898705065,78.0,D:/Hoffman/_Dundee/#26_DD_Hoffman_1x5/,3.0,128,128,56.0,"[1.81823, 1.81823]"
175,Dundee,08,P,True,SIEMENS,mCT,True,2.0,33.2365804732655,79.0,D:/Hoffman/_Dundee/#26_DD_Hoffman_2x5 Clinical_Skull/,3.0,400,400,56.0,"[1.01821, 1.01821]"
176,Dundee,09,P,True,SIEMENS,mCT,False,2.0,41.46298316630988,80.0,D:/Hoffman/_Dundee/#27_DD_Hoffman_2x5/,3.0,128,128,56.0,"[1.81823, 1.81823]"
177,Dundee,10,P,True,SIEMENS,mCT,True,3.0,32.20295564310729,81.0,D:/Hoffman/_Dundee/#27_DD_Hoffman_3x5 Clinical_Skull/,3.0,400,400,56.0,"[1.01821, 1.01821]"
178,Dundee,11,P,True,SIEMENS,mCT,False,3.0,40.173525336326364,82.0,D:/Hoffman/_Dundee/#28_DD_Hoffman_3x5/,3.0,128,128,56.0,"[1.81823, 1.81823]"
179,Dundee,12,P,True,SIEMENS,mCT,True,4.0,31.20147552441779,83.0,D:/Hoffman/_Dundee/#28_DD_Hoffman_4x5 Clinical_Skull/,3.0,400,400,56.0,"[1.01821, 1.01821]"
180,Dundee,13,P,True,SIEMENS,mCT,False,4.0,38.92416837145996,84.0,D:/Hoffman/_Dundee/#29_DD_Hoffman_4x5/,3.0,128,128,56.0,"[1.81823, 1.81823]"
181,Dundee,14,P,True,SIEMENS,mCT,True,5.0,30.231140448414614,85.0,D:/Hoffman/_Dundee/#29_DD_Hoffman_5x5 Clinical_Skull/,3.0,400,400,56.0,"[1.01821, 1.01821]"
182,Dundee,15,P,True,SIEMENS,mCT,False,5.0,37.713665174406884,86.0,D:/Hoffman/_Dundee/#30_DD_Hoffman_5x5/,3.0,128,128,56.0,"[1.81823, 1.81823]"
183,Dundee,16,P,True,SIEMENS,mCT,True,6.0,29.290981835027292,87.0,D:/Hoffman/_Dundee/#30_DD_Hoffman_6x5 Clinical_Skull/,3.0,400,400,56.0,"[1.01821, 1.01821]"
184,Dundee,17,P,True,SIEMENS,mCT,True,1.0,34.303381770247434,88.0,D:/Hoffman/_Dundee/#31_DD_Hoffman_1x5 Clinical_Skull/,3.0,400,400,56.0,"[1.01821, 1.01821]"
185,Dundee,18,P,True,SIEMENS,mCT,False,6.0,36.54080743135791,89.0,D:/Hoffman/_Dundee/#31_DD_Hoffman_6x5/,3.0,128,128,56.0,"[1.81823, 1.81823]"
